pair,n,eg_resid_adf_t,eg_pass_5pct,approx_p,bh_fdr_survive,half_life_is
TCS.NS/ADANIENT.NS,4288,-2.116,false,0.4917,false,403.3
TCS.NS/DRREDDY.NS,4288,-2.422,false,0.3285,false,173.7
TCS.NS/BAJAJFINSV.NS,4288,-2.713,false,0.2043,false,206.1
TCS.NS/BRITANNIA.NS,4288,-3.434,true,0.0410,false,174.5
TCS.NS/COALINDIA.NS,3834,-0.656,false,0.9135,false,1428.3
TCS.NS/SBILIFE.NS,2134,-3.409,true,0.0434,false,60.7
TCS.NS/HDFCLIFE.NS,2102,-2.014,false,0.5358,false,110.2
TCS.NS/APOLLOHOSP.NS,4288,-3.712,true,0.0194,false,83.2
HDFCBANK.NS/INFY.NS,4288,-2.591,false,0.2433,false,145.2
HDFCBANK.NS/HINDUNILVR.NS,4288,-3.921,true,0.0098,false,82.8
HDFCBANK.NS/ITC.NS,4288,-0.947,false,0.8686,false,629.7
HDFCBANK.NS/SBIN.NS,4288,-1.989,false,0.5464,false,266.3
HDFCBANK.NS/BAJFINANCE.NS,4288,-5.628,true,0.0022,false,24.8
HDFCBANK.NS/BAJAJ-AUTO.NS,4288,-3.412,true,0.0431,false,167.2
HDFCBANK.NS/BHARTIARTL.NS,4288,-2.422,false,0.3286,false,186.4
HDFCBANK.NS/WIPRO.NS,4288,-2.703,false,0.2077,false,162.4
HDFCBANK.NS/MARUTI.NS,4288,-1.532,false,0.7367,false,267.6
HDFCBANK.NS/HCLTECH.NS,4288,-2.208,false,0.4425,false,198.7
HDFCBANK.NS/TATASTEEL.NS,4288,-1.153,false,0.8243,false,931.3
HDFCBANK.NS/ULTRACEMCO.NS,4288,-3.493,true,0.0352,false,96.4
HDFCBANK.NS/SUNPHARMA.NS,4288,-0.450,false,0.9328,false,1847.7
HDFCBANK.NS/ASIANPAINT.NS,4288,-3.799,true,0.0151,false,72.9
HDFCBANK.NS/NESTLEIND.NS,4288,-3.413,true,0.0429,false,200.0
HDFCBANK.NS/POWERGRID.NS,4288,-3.257,false,0.0639,false,80.1
HDFCBANK.NS/NTPC.NS,4288,-1.304,false,0.7920,false,1356.6
HDFCBANK.NS/ONGC.NS,4288,-1.455,false,0.7597,false,1177.3
HDFCBANK.NS/DIVISLAB.NS,4287,-2.929,false,0.1353,false,152.3
HDFCBANK.NS/CIPLA.NS,4288,-2.443,false,0.3174,false,174.3
HDFCBANK.NS/EICHERMOT.NS,4288,-0.844,false,0.8905,false,565.2
HDFCBANK.NS/GRASIM.NS,4288,-2.622,false,0.2334,false,151.8
HDFCBANK.NS/HEROMOTOCO.NS,4288,-2.908,false,0.1422,false,135.3
HDFCBANK.NS/HINDALCO.NS,4288,-1.384,false,0.7749,false,561.5
HDFCBANK.NS/INDUSINDBK.NS,4288,-0.286,false,0.9482,false,1071.6
HDFCBANK.NS/JSWSTEEL.NS,4288,-1.918,false,0.5760,false,246.8
HDFCBANK.NS/LT.NS,4288,-2.336,false,0.3746,false,189.0
HDFCBANK.NS/M&M.NS,4288,-2.482,false,0.2965,false,234.8
HDFCBANK.NS/TECHM.NS,4288,-2.085,false,0.5063,false,206.9
HDFCBANK.NS/TITAN.NS,4288,-2.806,false,0.1746,false,97.7
HDFCBANK.NS/UPL.NS,4288,-2.567,false,0.2517,false,185.1
HDFCBANK.NS/ADANIPORTS.NS,4288,-3.058,false,0.0969,false,87.0
HDFCBANK.NS/ADANIENT.NS,4288,-1.312,false,0.7902,false,686.9
HDFCBANK.NS/DRREDDY.NS,4288,-1.561,false,0.7244,false,427.4
HDFCBANK.NS/BAJAJFINSV.NS,4288,-4.205,true,0.0075,false,58.7
HDFCBANK.NS/BRITANNIA.NS,4288,-2.703,false,0.2077,false,131.1
HDFCBANK.NS/COALINDIA.NS,3834,-0.730,false,0.9066,false,1593.2
HDFCBANK.NS/SBILIFE.NS,2134,-3.516,true,0.0331,false,45.3
HDFCBANK.NS/HDFCLIFE.NS,2102,-2.216,false,0.4381,false,102.8
HDFCBANK.NS/APOLLOHOSP.NS,4288,-1.958,false,0.5592,false,207.7
INFY.NS/ICICIBANK.NS,4288,-3.833,true,0.0133,false,71.5
INFY.NS/HINDUNILVR.NS,4288,-2.952,false,0.1281,false,132.1
INFY.NS/ITC.NS,4288,-0.560,false,0.9225,false,1057.9
INFY.NS/SBIN.NS,4288,-2.213,false,0.4399,false,239.7
INFY.NS/BAJFINANCE.NS,4288,-2.576,false,0.2480,false,131.4
INFY.NS/BAJAJ-AUTO.NS,4288,-1.722,false,0.6576,false,269.0
INFY.NS/BHARTIARTL.NS,4288,-3.349,true,0.0491,false,126.4
INFY.NS/MARUTI.NS,4288,-1.577,false,0.7179,false,290.3
INFY.NS/HCLTECH.NS,4288,-1.419,false,0.7674,false,243.3
INFY.NS/TATASTEEL.NS,4288,-1.407,false,0.7700,false,551.8
INFY.NS/KOTAKBANK.NS,4288,-2.912,false,0.1408,false,112.6
INFY.NS/AXISBANK.NS,4288,-2.337,false,0.3737,false,155.8
INFY.NS/ULTRACEMCO.NS,4288,-1.943,false,0.5653,false,203.3
INFY.NS/SUNPHARMA.NS,4288,-0.623,false,0.9166,false,1150.2
INFY.NS/ASIANPAINT.NS,4288,-2.740,false,0.1957,false,119.6
INFY.NS/NESTLEIND.NS,4288,-3.760,true,0.0170,false,153.7
INFY.NS/POWERGRID.NS,4288,-2.825,false,0.1686,false,142.0
INFY.NS/NTPC.NS,4288,-1.372,false,0.7774,false,633.6
INFY.NS/ONGC.NS,4288,-1.934,false,0.5692,false,457.0
INFY.NS/DIVISLAB.NS,4287,-5.039,true,0.0037,false,58.6
INFY.NS/CIPLA.NS,4288,-2.558,false,0.2564,false,145.0
INFY.NS/EICHERMOT.NS,4288,-1.099,false,0.8359,false,458.9
INFY.NS/GRASIM.NS,4288,-2.098,false,0.5009,false,227.5
INFY.NS/HEROMOTOCO.NS,4288,-1.714,false,0.6609,false,227.0
INFY.NS/HINDALCO.NS,4288,-1.637,false,0.6927,false,382.4
INFY.NS/INDUSINDBK.NS,4288,-0.505,false,0.9276,false,1130.7
INFY.NS/JSWSTEEL.NS,4288,-2.331,false,0.3769,false,172.7
INFY.NS/LT.NS,4288,-2.441,false,0.3186,false,173.8
INFY.NS/M&M.NS,4288,-1.399,false,0.7717,false,358.7
INFY.NS/TECHM.NS,4288,-1.839,false,0.6086,false,175.0
INFY.NS/TITAN.NS,4288,-2.603,false,0.2396,false,137.5
INFY.NS/UPL.NS,4288,-2.488,false,0.2934,false,179.4
INFY.NS/ADANIPORTS.NS,4288,-2.979,false,0.1196,false,100.1
INFY.NS/ADANIENT.NS,4288,-2.608,false,0.2380,false,192.2
INFY.NS/DRREDDY.NS,4288,-1.756,false,0.6435,false,252.3
INFY.NS/BAJAJFINSV.NS,4288,-2.474,false,0.3010,false,161.7
INFY.NS/BRITANNIA.NS,4288,-2.666,false,0.2194,false,147.8
INFY.NS/COALINDIA.NS,3834,-0.231,false,0.9533,false,2894.0
INFY.NS/SBILIFE.NS,2134,-2.989,false,0.1163,false,70.7
INFY.NS/HDFCLIFE.NS,2102,-1.874,false,0.5941,false,131.3
INFY.NS/APOLLOHOSP.NS,4288,-2.671,false,0.2177,false,147.6
ICICIBANK.NS/HINDUNILVR.NS,4288,-3.488,true,0.0358,false,92.9
ICICIBANK.NS/ITC.NS,4288,-1.565,false,0.7230,false,314.3
