unit,family,primary,n,pre_mean,pre_t,pre_p,day0_mean,day0_t,day0_p,post_mean,post_t,post_p,hit_rate,post_drop_top3ev_mean,drop_ev_t,drop_ev_p,post_drop_top3day_mean,drop_day_t,drop_day_p,top_symbol,top_symbol_frac,gross_bps,h14b_pass,conc_survives
pledge_increase,promoter_pledge,true,42,0.008884,0.552,0.5813,0.006411,0.877,0.3804,-0.006292,-0.808,0.4190,0.548,-0.010553,-1.604,0.1087,-0.014985,-2.075,0.0380,RESPONIND,0.119,62.9,false,false
auditor_resignation,auditor,true,185,-0.001300,-0.244,0.8070,-0.001542,-0.588,0.5567,0.002655,0.542,0.5880,0.389,-0.001383,-0.315,0.7526,0.000846,0.162,0.8717,WELENT,0.016,26.5,false,false
auditor,auditor,false,3281,0.001996,1.733,0.0831,0.001011,1.814,0.0697,-0.001340,-0.894,0.3711,0.447,-0.002484,-2.051,0.0403,-0.000999,-0.639,0.5230,CROWN,0.002,13.4,false,false
auditor_change,auditor,false,2951,0.002943,2.424,0.0154,0.001299,2.229,0.0258,-0.001257,-0.782,0.4345,0.447,-0.002528,-1.984,0.0472,-0.000907,-0.538,0.5904,CROWN,0.003,12.6,false,false
promoter_pledge,promoter_pledge,false,71,0.008485,0.703,0.4818,-0.002435,-0.515,0.6066,0.003646,0.544,0.5862,0.451,0.001823,0.299,0.7648,-0.001977,-0.296,0.7673,RESPONIND,0.085,36.5,false,false
pledge_release,promoter_pledge,false,28,0.008614,0.451,0.6521,-0.015972,-4.250,0.0000,0.020139,1.711,0.0871,0.286,0.018190,1.821,0.0686,0.009964,0.811,0.4173,FINKURVE,0.107,201.4,false,false
