label,n_oos,ic_mean,ic_ir,net_spread,t,p,sharpe,dsr,theil,adf,kpss
FULL BLEND,183.00000,0.04302,0.26140,-0.01658,-6.19761,0.00000,-1.58705,0.00000,0.53500,0.31106,3.69908
price_momentum,183.00000,0.04148,0.25078,-0.01679,-6.20510,0.00000,-1.58896,0.00000,0.53998,0.39722,3.69963
ear_drift,11.00000,-0.00745,-0.09396,-0.02656,-7.69959,0.00000,-8.04196,0.00000,0.21269,NaN,NaN
bulkdeal_intensity,43.00000,0.01489,0.11982,-0.02415,-5.78942,0.00000,-3.05838,0.00000,0.44288,1.19470,1.14962
drop price_momentum,43.00000,0.00997,0.09102,-0.02276,-6.43753,0.00000,-3.40076,0.00000,0.37694,0.77829,1.16604
drop ear_drift,183.00000,0.04159,0.25073,-0.01708,-6.30712,0.00000,-1.61509,0.00000,0.53943,0.59689,3.69681
drop bulkdeal_intensity,183.00000,0.04320,0.26322,-0.01645,-6.10193,0.00000,-1.56255,0.00000,0.53934,0.19502,3.70109
