side,symbol,deal_date,band,deal_value_inr,adv_ratio,pre_car,day0_ar,post_car_h5
BUY,ACI.NS,2025-02-20,micro,368052739,1.87,-0.06156,0.06092,0.1126028319314697
BUY,FILATFASH.NS,2026-04-10,broad,10712754,0.76,0.24817,0.03841,0.19648974444890888
BUY,RADIANTCMS.NS,2025-04-02,broad,98834865,2.46,0.14884,0.08581,0.029757038517481127
BUY,DENTA.NS,2025-08-22,broad,114710635,0.59,0.18737,0.03631,0.11597402283661884
BUY,AGIIL.NS,2026-02-23,broad,135326645,0.68,0.14445,0.00030,0.08693127021901592
BUY,SUZLON.NS,2025-06-09,midcap,13088730483,2.28,-0.09361,-0.00301,-0.032900489196689864
BUY,YATHARTH.NS,2025-01-16,micro,230690770,0.90,-0.04325,-0.07502,0.05185466423444263
BUY,LLOYDSENT.NS,2026-03-27,micro,749733423,3.32,-0.04693,-0.01636,0.30182402636856165
BUY,MTNL.NS,2025-02-05,broad,873293257,7.46,0.03582,0.17798,-0.0007830841744018713
BUY,DREDGECORP.NS,2025-12-08,broad,929688018,5.68,0.02829,0.15166,-0.008517032079535136
BUY,RATNAVEER.NS,2026-05-04,broad,133691615,0.64,0.11829,0.07258,-0.038174206630633756
BUY,SUYOG.NS,2025-06-10,broad,188350000,11.14,0.10051,0.04991,-0.04838878896062715
BUY,BGRENERGY.NS,2025-01-20,broad,66990000,3.33,0.10945,0.01384,0.021954070488812816
BUY,AVANTEL.NS,2025-09-05,broad,242105323,1.21,0.07785,0.11320,0.025284566511841078
BUY,GANDHAR.NS,2026-05-06,broad,103899506,5.03,-0.02222,0.12553,-0.04100217327706712
BUY,STYLAMIND.NS,2026-02-17,broad,13058829000,188.56,0.01206,-0.00130,0.005337913124355387
BUY,JLHL.NS,2025-11-13,micro,3465332547,68.64,-0.02857,0.00809,0.008307863442460706
BUY,OMAXE.NS,2026-01-13,broad,91045079,6.02,-0.08949,0.12912,-0.04983632850098385
BUY,APOLLO.NS,2025-08-22,micro,3869178750,3.93,0.07125,0.14905,0.16775448192196285
BUY,ATHERENERG.NS,2025-11-06,smallcap,1370528272,0.54,-0.09636,-0.03354,-0.011261062254856125
BUY,EASEMYTRIP.NS,2026-02-17,broad,1672494807,25.05,0.17036,0.19783,-0.10325680403498372
BUY,AWHCL.NS,2026-01-30,broad,136299143,1.93,0.08804,0.03816,0.011603160433583337
BUY,ROTO.NS,2025-12-17,broad,1115814799,59.49,0.04709,0.13327,-0.06326901586361022
BUY,IRMENERGY.NS,2026-05-04,broad,564966576,10.73,0.23952,-0.03424,-0.0841494656337951
BUY,SONATSOFTW.NS,2025-04-30,smallcap,2795245483,8.43,0.18028,0.13768,-0.14165445379316766
BUY,MOBIKWIK.NS,2025-06-26,broad,6935424440,33.79,-0.01201,0.05677,-0.01510743014275484
BUY,MARKOLINES.NS,2026-04-16,broad,19535782,0.63,-0.06981,-0.00538,0.02438165753831245
BUY,CARTRADE.NS,2025-10-28,smallcap,1546710663,2.66,0.06673,0.17278,-0.005981940662781127
BUY,BAJAJCON.NS,2026-01-23,broad,954700870,6.02,0.08394,0.03952,0.0993514442248209
BUY,ARIS.NS,2026-04-07,broad,52546568,0.61,0.01972,0.03413,0.05520640926000042
BUY,EDELWEISS.NS,2026-02-23,micro,2360000000,4.86,0.00385,0.01883,-0.059450728025287836
BUY,CSLFINANCE.NS,2026-03-27,broad,43608056,7.58,-0.02575,-0.04545,0.04780785976981061
BUY,SHRIRAMPPS.NS,2025-03-28,broad,80300000,0.66,0.02213,-0.03090,-0.026776759420954477
BUY,AGIIL.NS,2026-05-04,broad,1225130383,0.99,0.10257,0.02451,0.021879052437700386
BUY,SMCGLOBAL.NS,2026-02-05,broad,366701451,5.68,0.01821,0.10538,-0.05841537626528781
BUY,RPSGVENT.NS,2026-04-01,broad,2515389252,101.67,0.34493,0.16768,-0.11563369840337967
BUY,MOTISONS.NS,2026-02-13,broad,119660356,3.57,0.26470,0.00678,0.008179597203590738
BUY,IKIO.NS,2026-04-30,broad,110068075,8.57,0.12738,-0.02703,0.12681227708956788
