T0,symbol,company_name,t0_bucket,all_buckets,n_tier1_filings,t0_subject,VERIFY_keep,matched_control,pledge_pct_T0minus12m
2026-01-22,ASTERDM,Aster DM Healthcare Limited,insolvency_nclt,insolvency_nclt,3,"Aster DM Healthcare Limited has informed the Exchange about receipt of NCLT Order dated January 21, 2026",,,
2026-01-22,BELRISE,Belrise Industries Limited,insolvency_nclt,insolvency_nclt,1,Belrise Industries Limited has informed the exchange about acquisition of aerospace equipments in a liquidation process through its subsidiaries,,,
2026-01-23,KANSAINER,Kansai Nerolac Paints Limited,insolvency_nclt,insolvency_nclt,2,"Notice of NCLT Convened Meeting of Equity Shareholders of Kansai Nerolac Paints Limited to be held on Friday, 27th February, 2026 at 11 a.m. (IST) through Video Conferencing/ Other Audio Visual Means.",,,
2026-01-24,SHYAMMETL,Shyam Metalics and Energy Limited,insolvency_nclt,insolvency_nclt,1,Shyam Metalics And Energy Limited has informed the Exchange regarding Fresh Capex Announcement of &#8377; 6660 Crores and Voluntary Liquidation of Step down Subsidiary of the Company,,,
2026-02-06,ARSSBL,Anand Rathi Share and Stock Brokers Limited,default_disclosure,default_disclosure,4,"Disclosure of material event/information as per Regulation 30 and 51 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( SEBI Listing Regulations )",,,
2026-02-06,JINDALPOLY,Jindal Poly Films Limited,insolvency_nclt,insolvency_nclt,4,"Jindal Poly Films Limited has informed the Exchange regarding 'Disclosure cum clarification under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015   Order passed by the Hon ble NCLT dated 05.02.2026'.",,,
2026-02-06,INDUSFILA,Indus Fila Limited,insolvency_nclt,insolvency_nclt,1,"Members of the Exchange are hereby informed that the trading in equity shares of Indus Fila Limited shall remain to be suspended w.e.f. February 09, 2026, on account of Reduction of Share Capital pursuant to NCLT order.",,,
2026-02-10,GABRIEL,Gabriel India Limited,insolvency_nclt,insolvency_nclt,4,Gabriel India Limited has informed the Exchange about Letters sent regarding the Notice of the NCLT Convened Meeting of the Equity Shareholders,,,
2026-02-12,BHAGYANGR,Bhagyanagar India Limited,insolvency_nclt,insolvency_nclt,1,"Bhagyanagar India Limited has informed the Exchange about Copy of Newspaper Publication of the Meeting of the Equity Shareholders of Bhagyanagar India Limited and Meeting of Trade Creditors of Bhagyanagar Copper Private Limited (wholly owned subsidiary company) to be convened as per the directions of Hon ble National Company Law Tribunal, Hyderabad Bench ( NCLT ).",,,
2026-02-13,VIVIMEDLAB,Vivimed Labs Limited,insolvency_nclt,insolvency_nclt,4,Vivimed Labs Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2026-02-14,GKSL,Gujarat Kidney And Super Speciality Limited,insolvency_nclt,insolvency_nclt,1,Gujarat Kidney And Super Speciality Limited has informed the Exchange about order passed by NCLT approving voluntary revision of Borad report and financial statements,,,
2026-02-16,SHREEJISPG,Shreeji Shipping Global Limited,insolvency_nclt,insolvency_nclt,1,"With reference to our disclosure dated February 11, 2026 regarding execution of a Port Handling Agreement with Karanja Terminals and Logistics Private Limited ( KTLP ), we wish to inform you that the Company has received a communication dated February 14, 2026 from the Interim Resolution Professional ( IRP ) of KTLP, which is presently undergoing Corporate Insolvency Resolution Process under the Insolvency and Bankruptcy Code, 2016.",,,
2026-02-19,SALSTEEL,S.A.L. Steel Limited,default_disclosure,default_disclosure,1,S.A.L. Steel Limited has informed the Exchange about Delay/default in the payment of fines/penalties/dues etc. to authority,,,
2026-02-19,ASHOKLEY,Ashok Leyland Limited,insolvency_nclt,insolvency_nclt,1,"Ashok Leyland Limited has informed the Exchange  that Ashok Leyland West Africa SA, step-down subsidiary of the Company, has been voluntarily liquidated.",,,
2026-02-22,IDFCFIRSTB,IDFC First Bank Limited,default_disclosure,default_disclosure,1,IDFC First Bank Limited has informed the Exchange about Frauds/Default by employees,,,
2026-02-24,QUINTEGRA,Quintegra Solutions Limited,insolvency_nclt,insolvency_nclt,1,Quintegra Solutions Limited has informed the Exchange about the Share Capital Reduction Petition Filed in NCLT,,,
