FREQ,REF_AREA,VALUE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
Q,IN,R,771,2024-Q1,1.7547
Q,IN,R,771,2024-Q2,2.5539
Q,IN,R,771,2024-Q3,2.6121
Q,IN,R,771,2024-Q4,1.1551
Q,IN,R,771,2025-Q1,0.1226
Q,IN,R,771,2025-Q2,0.734
Q,IN,R,771,2025-Q3,1.8298
Q,IN,R,771,2025-Q4,2.9968
Q,IN,N,628,2009-Q1,78.5736
Q,IN,N,628,2009-Q2,82.5022
Q,IN,N,628,2009-Q3,86.0381
Q,IN,N,628,2009-Q4,89.4167
Q,IN,N,628,2010-Q1,93.1097
Q,IN,N,628,2010-Q2,98.5312
Q,IN,N,628,2010-Q3,104.3887
Q,IN,N,628,2010-Q4,103.9703
Q,IN,N,628,2011-Q1,111.5014
Q,IN,N,628,2011-Q2,121.3336
Q,IN,N,628,2011-Q3,124.8899
Q,IN,N,628,2011-Q4,131.2704
Q,IN,N,628,2012-Q1,140.2658
Q,IN,N,628,2012-Q2,149.1566
Q,IN,N,628,2012-Q3,153.8636
Q,IN,N,628,2012-Q4,164.2187
Q,IN,N,628,2013-Q1,168.1935
Q,IN,N,628,2013-Q2,169.7624
Q,IN,N,628,2013-Q3,176.9797
Q,IN,N,628,2013-Q4,180.7452
Q,IN,N,628,2014-Q1,188.7993
Q,IN,N,628,2014-Q2,196.6441
Q,IN,N,628,2014-Q3,201.874
Q,IN,N,628,2014-Q4,211.2878
Q,IN,N,628,2015-Q1,221.8522
Q,IN,N,628,2015-Q2,225.1993
Q,IN,N,628,2015-Q3,228.2327
Q,IN,N,628,2015-Q4,231.8936
Q,IN,N,628,2016-Q1,229.1741
Q,IN,N,628,2016-Q2,241.7106
Q,IN,N,628,2016-Q3,245.7005
Q,IN,N,628,2016-Q4,251.2442
Q,IN,N,628,2017-Q1,253.1299
Q,IN,N,628,2017-Q2,262.75
Q,IN,N,628,2017-Q3,264.0052
Q,IN,N,628,2017-Q4,269.3397
Q,IN,N,628,2018-Q1,270.1032
Q,IN,N,628,2018-Q2,276.7452
Q,IN,N,628,2018-Q3,279.0045
Q,IN,N,628,2018-Q4,283.1675
Q,IN,N,628,2019-Q1,279.9041
Q,IN,N,628,2019-Q2,286.2845
Q,IN,N,628,2019-Q3,288.0732
Q,IN,N,628,2019-Q4,291.5876
Q,IN,N,628,2020-Q1,290.8659
Q,IN,N,628,2020-Q2,294.37
Q,IN,N,628,2020-Q3,291.2529
Q,IN,N,628,2020-Q4,297.9786
Q,IN,N,628,2021-Q1,298.5957
Q,IN,N,628,2021-Q2,300.1751
Q,IN,N,628,2021-Q3,298.1878
Q,IN,N,628,2021-Q4,307.2983
Q,IN,N,628,2022-Q1,303.9616
Q,IN,N,628,2022-Q2,310.2479
Q,IN,N,628,2022-Q3,318.0057
Q,IN,N,628,2022-Q4,321.1405
Q,IN,N,628,2023-Q1,317.1603
Q,IN,N,628,2023-Q2,321.7928
Q,IN,N,628,2023-Q3,326.3556
Q,IN,N,628,2023-Q4,330.6303
Q,IN,N,628,2024-Q1,339.0119
Q,IN,N,628,2024-Q2,346.3137
Q,IN,N,628,2024-Q3,349.1572
Q,IN,N,628,2024-Q4,353.3654
Q,IN,N,628,2025-Q1,352.0101
Q,IN,N,628,2025-Q2,358.932
Q,IN,N,628,2025-Q3,361.5126
Q,IN,N,628,2025-Q4,366.009
Q,IN,N,771,2010-Q1,18.5
Q,IN,N,771,2010-Q2,19.4286
Q,IN,N,771,2010-Q3,21.3285
Q,IN,N,771,2010-Q4,16.2762
Q,IN,N,771,2011-Q1,19.7527
Q,IN,N,771,2011-Q2,23.1423
Q,IN,N,771,2011-Q3,19.6393
Q,IN,N,771,2011-Q4,26.2576
Q,IN,N,771,2012-Q1,25.7973
Q,IN,N,771,2012-Q2,22.931
Q,IN,N,771,2012-Q3,23.1994
Q,IN,N,771,2012-Q4,25.0996
Q,IN,N,771,2013-Q1,19.9106
Q,IN,N,771,2013-Q2,13.8149
Q,IN,N,771,2013-Q3,15.0238
Q,IN,N,771,2013-Q4,10.0637
Q,IN,N,771,2014-Q1,12.2512
Q,IN,N,771,2014-Q2,15.8349
Q,IN,N,771,2014-Q3,14.0662
Q,IN,N,771,2014-Q4,16.8982
Q,IN,N,771,2015-Q1,17.5069
Q,IN,N,771,2015-Q2,14.5213
Q,IN,N,771,2015-Q3,13.057
Q,IN,N,771,2015-Q4,9.7525
Q,IN,N,771,2016-Q1,3.3004
Q,IN,N,771,2016-Q2,7.3319
Q,IN,N,771,2016-Q3,7.6535
