"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"15-MAY-2026","PRICOLLTD","Pricol Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","6,69,420","628.73","-"
"15-MAY-2026","SAIFL","Sameera Agro And Infra L","BATTULA MADHAVI","SELL","6,00,000","7.19","-"
"15-MAY-2026","SAIFL","Sameera Agro And Infra L","SATYA MURTHY SIVALENKA","SELL","3,68,000","7.19","-"
"15-MAY-2026","SAKAR","Sakar Healthcare Limited","STELLAR WEALTH PARTNERS INDIA FUND I LP","BUY","1,95,000","664.58","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","BLITZQUANT RESEARCH LLP","SELL","11,65,407","425.59","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","BLITZQUANT RESEARCH LLP","BUY","11,65,407","425.40","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","SELL","11,01,990","423.98","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","BUY","11,20,686","423.29","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","SELL","22,52,361","424.98","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","22,71,963","424.42","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","IRAGE BROKING SERVICES LLP","SELL","26,89,547","423.76","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","IRAGE BROKING SERVICES LLP","BUY","27,38,409","422.47","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","14,03,437","425.26","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","14,03,437","426.10","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","19,64,030","421.63","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","19,68,217","422.03","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","MICROCURVES TRADING PRIVATE LIMITED","SELL","69,17,031","424.50","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","MICROCURVES TRADING PRIVATE LIMITED","BUY","69,17,031","424.25","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","37,85,977","422.47","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","37,85,977","422.29","-"
